record_id,source_file,source_start_index,source_end_index,source_label,values
internal_bleeding_024_internalbleeding10_15_recovery_4700,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,4700,4735,recovery,"85.9157 85.0141 84.0944 83.6766 82.8202 81.9993 81.1589 80.1603 80.1397 79.2902 79.7051 79.9627 80.1386 79.7490 79.9167 80.0434 79.9359 79.9323 80.2909 80.4712 80.0600 80.0058 80.2387 79.7304 79.1986 79.0173 79.3250 79.7136 79.5331 79.3625 78.9203 78.2911 77.8705 77.7884 77.7040 77.3833"
internal_bleeding_025_internalbleeding14_00_normal_560,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,560,595,normal,"78.1616 77.7464 76.6324 76.5458 76.3601 75.7614 75.9923 75.9180 75.7624 75.4286 75.0963 75.0010 74.7158 74.6128 74.0462 74.2808 74.3549 74.6222 74.2402 73.8308 73.4632 73.2541 72.7407 72.5654 71.5424 71.4030 71.1228 71.3481 71.5575 71.9687 72.0308 71.3983 71.6425 71.2702 70.7693 70.4697"
internal_bleeding_025_internalbleeding14_01_normal_596,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,596,631,normal,"69.6353 69.2145 69.3467 68.6444 68.3302 68.4702 68.4813 68.7681 69.4327 70.5280 72.4525 74.7101 76.9214 79.3448 81.1155 83.3426 85.2856 87.6515 89.3454 90.2354 91.1073 91.7745 91.8859 92.4477 92.4953 92.5909 92.6164 92.4983 92.3127 92.3451 92.5036 92.3133 92.1875 93.0704 93.7249 94.2875"
internal_bleeding_025_internalbleeding14_02_normal_1260,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,1260,1295,normal,"99.3590 98.9768 99.2407 99.8495 99.1759 99.5486 99.5690 99.4918 99.1244 98.6981 97.8305 97.0033 96.6340 95.2295 93.1851 91.5895 88.7165 85.8082 83.3090 81.0183 80.3461 80.6367 81.6710 82.2600 83.5194 83.7259 84.9552 85.1623 85.9064 86.5503 87.0186 87.8762 88.1549 88.3996 88.4369 87.9449"
internal_bleeding_025_internalbleeding14_03_normal_1296,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,1296,1331,normal,"88.0931 87.1462 85.6858 84.9021 84.0587 82.4852 81.9436 81.4118 80.9669 80.1148 79.3909 79.6864 78.8720 78.6707 78.4441 78.5449 78.7741 79.0148 78.9127 79.4925 79.7704 79.3410 78.9028 78.4619 78.4965 78.2293 77.9534 76.8636 76.9466 76.7063 76.4330 76.2627 75.9635 75.7844 75.9166 75.7535"
internal_bleeding_025_internalbleeding14_04_normal_late_1959,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,1959,1994,normal_late,"75.5173 75.1467 75.2885 75.2314 74.8181 75.1195 75.3902 74.9468 74.6899 74.6277 74.4537 74.0244 73.5382 73.6820 73.0417 72.2622 71.9792 72.4827 72.8116 72.7982 72.6487 72.7010 73.1111 73.0640 72.2280 72.3323 72.3430 71.7737 71.1234 71.0512 71.2656 71.2745 71.1934 71.4798 72.3753 73.9311"
internal_bleeding_025_internalbleeding14_05_normal_late_2728,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,2728,2763,normal_late,"75.2979 74.9164 74.4210 74.6305 74.5712 74.9268 74.6971 74.0730 74.2403 74.2600 73.8993 73.4765 72.7237 72.4012 72.2890 72.2042 71.3385 71.5184 70.7181 70.4050 70.2383 69.9430 69.5908 69.7718 69.5170 69.3782 69.0928 68.8728 69.0037 68.6491 69.1453 69.1231 69.1466 68.6851 68.6976 68.5101"
internal_bleeding_025_internalbleeding14_06_pre_anomaly_5391,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,5391,5426,pre_anomaly,"71.4936 71.1516 71.7229 72.3751 73.3270 74.2591 75.6522 77.8611 80.3015 83.0666 86.0559 87.9216 90.2151 92.3183 94.0972 95.1650 96.1929 96.5718 96.9966 97.2263 97.2637 97.5173 97.8774 97.6207 97.1889 97.1847 96.8649 96.8074 97.4771 97.5626 98.1030 99.1019 99.6764 100.1188 100.7992 101.6654"
internal_bleeding_025_internalbleeding14_07_pre_anomaly_5463,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,5463,5498,pre_anomaly,"90.4681 90.9006 90.7520 90.9412 90.9101 90.6592 90.7864 89.9559 89.5025 88.7254 87.3716 86.7236 86.1279 85.7616 84.6489 83.9041 83.5642 82.4347 81.9078 82.1946 81.8356 81.5581 81.9911 82.1712 82.3840 82.9907 82.8297 83.0931 83.2549 83.3715 83.3000 83.2650 83.3631 82.9705 82.7980 82.3839"
internal_bleeding_025_internalbleeding14_08_pre_anomaly_5535,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,5535,5570,pre_anomaly,"73.9789 73.4289 73.1107 72.1962 71.6558 71.5592 70.6569 70.8207 70.3302 69.7329 69.0049 68.7376 68.3354 67.9569 68.1625 68.2037 68.7736 69.5452 71.0159 72.9807 75.1992 77.4028 79.6524 81.7582 83.1230 85.1239 86.4814 88.0185 89.8563 90.6590 92.0531 92.8394 93.4430 93.1603 92.7260 92.7839"
internal_bleeding_025_internalbleeding14_09_pre_anomaly_5571,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,5571,5606,pre_anomaly,"92.9246 91.9604 92.4897 92.4484 92.0566 92.3321 92.2828 92.6025 92.8399 92.8877 93.5042 94.3403 94.9883 95.1258 95.6169 96.6827 97.0321 97.2089 98.2168 98.4809 98.0718 98.5265 97.8345 97.0275 96.6067 96.2818 95.1492 94.4859 93.7370 92.3115 90.8461 88.6913 85.8324 83.0558 80.5068 78.8401"
internal_bleeding_025_internalbleeding14_10_pre_anomaly_5598,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,5598,5633,pre_anomaly,"94.4859 93.7370 92.3115 90.8461 88.6913 85.8324 83.0558 80.5068 78.8401 98.4094 99.4729 100.6185 101.1517 101.8256 102.9108 103.7255 104.3384 104.5430 104.6043 104.2417 103.6007 103.8286 103.8631 102.0437 101.2974 100.8237 99.6868 98.9089 98.3466 97.2751 96.6691 95.6133 95.0822 94.3345 92.7594 91.2771"
internal_bleeding_025_internalbleeding14_11_pre_anomaly_5602,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,5602,5637,pre_anomaly,"88.6913 85.8324 83.0558 80.5068 78.8401 98.4094 99.4729 100.6185 101.1517 101.8256 102.9108 103.7255 104.3384 104.5430 104.6043 104.2417 103.6007 103.8286 103.8631 102.0437 101.2974 100.8237 99.6868 98.9089 98.3466 97.2751 96.6691 95.6133 95.0822 94.3345 92.7594 91.2771 89.3951 87.7439 85.5015 83.0422"
internal_bleeding_025_internalbleeding14_12_anomaly_start_5607,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,5607,5642,anomaly_start,"98.4094 99.4729 100.6185 101.1517 101.8256 102.9108 103.7255 104.3384 104.5430 104.6043 104.2417 103.6007 103.8286 103.8631 102.0437 101.2974 100.8237 99.6868 98.9089 98.3466 97.2751 96.6691 95.6133 95.0822 94.3345 92.7594 91.2771 89.3951 87.7439 85.5015 83.0422 80.0305 78.2071 78.0009 77.9495 78.5412"
internal_bleeding_025_internalbleeding14_13_recovery_5634,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,5634,5669,recovery,"89.3951 87.7439 85.5015 83.0422 80.0305 78.2071 78.0009 77.9495 78.5412 78.4076 78.4648 79.0926 78.8819 78.9812 78.9621 79.2679 78.8982 78.8322 78.4968 78.3803 78.3173 78.2558 77.5992 77.2437 77.3698 76.9667 76.1196 76.6035 76.7911 76.2639 75.8471 75.4626 74.9515 74.3818 74.4741 74.1306"
internal_bleeding_025_internalbleeding14_14_recovery_5670,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,5670,5705,recovery,"73.7206 73.3792 73.3753 73.1391 73.0963 72.7336 73.3595 72.7147 72.4832 71.8441 71.3542 70.9567 70.4148 70.0869 70.0159 70.1953 69.2616 69.5732 69.3208 69.1566 69.3074 69.2361 69.1817 69.1068 69.1159 69.0950 69.0044 68.6680 68.2172 68.0083 67.9888 68.2514 68.4537 68.7756 69.9636 71.7028"
internal_bleeding_025_internalbleeding14_15_recovery_5778,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,5778,5813,recovery,"87.7953 87.5766 86.6259 86.1285 85.2148 84.7486 83.6182 82.9789 82.1797 81.8363 81.8085 81.2749 81.1543 81.2576 80.9904 81.1966 81.0945 80.6617 81.5692 81.6709 81.7853 81.1148 80.5448 80.2081 80.3248 80.0082 79.9132 79.6563 79.2247 79.4443 78.6772 77.7850 77.9286 77.8220 76.9609 77.1004"
internal_bleeding_026_internalbleeding15_00_normal_340,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,340,375,normal,"52.4959 54.4742 56.8325 59.0694 61.0630 62.3018 63.8728 65.8454 67.3062 68.4572 70.1768 71.4753 72.8212 73.4458 75.0047 75.9158 76.4975 76.7005 77.3323 77.5049 77.7438 77.6252 77.0335 76.9847 76.3475 75.1737 74.1866 73.7567 73.1527 72.2270 70.9494 70.0116 68.9818 68.4039 67.7800 66.5147"
internal_bleeding_026_internalbleeding15_01_normal_376,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,376,411,normal,"66.0073 66.1026 66.0536 65.5862 64.8875 64.6887 64.5733 64.6024 64.5483 64.3723 64.2344 64.2060 64.3109 64.4452 64.4922 64.8276 64.9873 64.9154 64.9819 64.7001 65.1331 64.9551 64.5819 63.8139 63.0600 61.3496 60.3656 59.3290 58.6575 56.9661 56.1115 55.6127 54.9966 54.4000 53.7522 53.5601"
internal_bleeding_026_internalbleeding15_02_normal_765,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,765,800,normal,"48.2259 48.5664 49.2987 49.2179 49.5078 49.2365 49.7619 50.2449 49.7652 50.2317 50.5899 50.4887 50.5886 50.7425 51.1010 51.0041 50.7734 50.4542 50.2025 50.3206 50.5366 49.9882 49.5620 49.3450 49.3724 49.3379 48.8862 48.4582 48.7543 48.4485 47.8491 47.5396 47.2522 46.3852 45.6747 45.7096"
internal_bleeding_026_internalbleeding15_03_normal_801,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,801,836,normal,"44.9691 44.9193 44.8019 44.3714 44.6568 44.3246 43.7098 43.5195 43.4852 43.1326 43.2772 43.3344 43.2054 42.7876 42.6861 42.4619 42.5846 42.6701 42.4829 42.5887 42.7120 42.5481 42.6426 43.2683 42.6657 42.7644 42.5878 42.7963 42.7564 42.4406 42.5582 42.3263 42.4986 42.5486 42.5061 42.1167"
internal_bleeding_026_internalbleeding15_04_normal_late_1190,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,1190,1225,normal_late,"42.4979 42.2530 41.7748 42.3786 42.4220 42.8204 43.3294 43.5140 44.2565 45.2625 46.2467 47.9496 49.5482 51.3240 53.5944 55.2524 57.8862 59.3995 61.4493 62.8275 64.0351 65.5717 67.6095 68.9766 70.0397 71.0948 72.2697 73.4392 74.1962 75.0164 75.8483 76.7773 76.8347 76.4939 76.3014 75.4224"
internal_bleeding_026_internalbleeding15_05_normal_late_1628,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,1628,1663,normal_late,"51.4703 51.6435 51.9012 52.2701 52.2601 52.3553 52.3989 52.7832 53.1471 53.3015 53.1250 53.2002 53.4920 53.8249 53.7558 53.7040 53.9724 53.8645 53.6964 53.2149 53.3676 52.5986 52.2143 52.2507 51.9941 51.8550 51.0870 50.9482 50.8639 50.0733 50.2207 49.5102 49.4532 49.4261 48.5892 48.5490"
internal_bleeding_026_internalbleeding15_06_pre_anomaly_5468,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,5468,5503,pre_anomaly,"44.7616 44.2805 43.9020 43.0768 43.3371 42.8096 41.9701 42.1808 42.1653 42.0973 42.0821 42.3338 41.8597 42.0574 42.5679 42.6723 42.3606 42.3485 42.3851 42.2040 41.9816 41.7904 41.2165 41.2847 41.5609 41.3009 40.8664 40.8393 41.2276 41.6400 41.1230 41.1281 41.1610 41.3171 40.9060 40.4856"
internal_bleeding_026_internalbleeding15_07_pre_anomaly_5540,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,5540,5575,pre_anomaly,"71.5973 72.4922 72.7011 72.5820 72.6982 73.1218 72.9429 72.1921 71.7535 71.7212 71.1209 70.6063 69.9549 69.4854 69.2760 68.4779 67.7564 67.2091 66.7847 65.9657 64.9618 64.3493 63.6358 63.5104 63.0651 62.3106 62.0815 62.1983 61.8005 61.5953 61.7376 61.6523 61.2720 60.7585 60.6263 60.3469"
internal_bleeding_026_internalbleeding15_08_pre_anomaly_5612,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,5612,5647,pre_anomaly,"52.6300 52.9571 52.3613 52.8109 53.2275 52.8689 53.0028 52.7603 52.9375 52.5771 52.2304 51.8788 51.5998 51.4688 51.3043 51.3833 51.1757 51.1914 50.6691 49.9172 49.8568 49.6525 49.4886 49.2203 48.3675 48.1039 48.0790 48.0279 47.3756 47.2004 46.8093 46.4881 46.3895 46.2269 46.5631 46.8444"
internal_bleeding_026_internalbleeding15_09_pre_anomaly_5648,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,5648,5683,pre_anomaly,"47.0008 46.4956 46.2140 45.8220 45.8815 45.7791 45.4341 45.4573 45.1735 45.2166 44.9511 45.0427 45.1967 45.5402 45.3851 45.4272 45.3544 45.6094 45.3428 45.1577 44.9837 44.3538 44.5355 44.3915 44.5235 44.3967 44.6692 44.7660 44.5682 44.1976 43.8996 43.7042 43.1690 42.9920 42.7276 42.5989"
internal_bleeding_026_internalbleeding15_10_anomaly_start_5684,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,5684,5719,anomaly_start,"42.0625 41.7768 41.5133 42.0383 42.3182 42.1421 42.4537 42.8451 43.0512 43.5987 44.0891 44.5322 44.6296 45.0813 45.9134 46.5423 48.2147 50.0200 51.1794 52.1054 53.2371 54.4371 55.5301 56.7407 57.9254 59.0344 59.8624 60.4073 61.0579 62.0018 63.1406 63.9756 64.9353 65.7161 66.3518 67.1177"
internal_bleeding_026_internalbleeding15_11_anomaly_5751,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,5751,5786,anomaly,"68.9464 68.3944 68.0517 67.6967 67.4571 67.1293 67.1194 66.8585 66.2443 65.8856 65.2971 64.8857 65.1338 64.7207 64.5408 64.3963 64.1046 64.1553 64.0610 63.7716 63.7605 63.5348 63.4761 63.6477 63.7170 63.3636 63.2379 63.6980 62.9100 62.6185 62.4747 62.2672 62.8508 62.8314 62.6130 62.6358"
internal_bleeding_026_internalbleeding15_12_anomaly_5818,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,5818,5853,anomaly,"53.9300 53.5009 53.0218 53.1213 53.0577 53.5242 53.1193 52.8640 52.6817 52.5173 52.6846 52.6436 53.2684 53.4742 53.5419 53.7633 53.1490 53.0099 53.5610 53.6294 53.3425 53.4113 53.3208 53.1302 52.7818 53.2453 53.2582 53.4294 53.0209 53.2553 53.8209 53.3955 53.3245 53.5983 53.4902 53.7837"
internal_bleeding_026_internalbleeding15_13_recovery_5854,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,5854,5889,recovery,"53.4633 53.5029 53.4350 52.9897 52.8412 52.4404 52.3283 52.6773 52.6351 52.5453 52.3219 52.1300 52.0676 51.8500 51.6098 51.7363 51.7786 51.8457 51.2923 51.2599 50.9635 50.6447 50.1054 49.6006 49.3048 48.8602 48.4437 48.2804 48.0314 48.1825 47.9536 48.3173 48.5404 48.8235 48.5830 48.4701"
internal_bleeding_026_internalbleeding15_14_recovery_5890,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,5890,5925,recovery,"48.2777 48.2046 47.9584 48.1832 47.5647 47.3360 47.2955 47.2986 47.4041 46.9913 46.7794 46.8784 46.6898 46.9275 46.7377 46.4228 45.8702 46.0178 46.4690 46.2452 46.6185 46.7136 46.1634 45.8652 45.1754 45.2242 44.9253 44.6823 44.5130 44.8924 44.4404 44.4482 44.1120 44.0277 44.3308 44.0892"
internal_bleeding_026_internalbleeding15_15_recovery_5998,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,5998,6033,recovery,"71.9092 70.9701 70.6563 69.9788 69.4404 69.1119 69.0523 68.5791 67.8607 67.2398 66.5388 66.5606 66.0417 65.9269 65.5755 65.9410 65.5070 65.4183 66.3082 66.7492 66.9015 66.6779 66.6490 66.3050 65.9079 65.8997 65.3076 65.0436 64.8818 64.4825 63.9336 63.0541 62.1790 61.1441 60.5264 59.5661"
internal_bleeding_027_internalbleeding16_00_normal_240,027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199.txt,240,275,normal,"61.3514 60.9701 60.8867 61.1968 60.3013 59.2638 58.7639 58.5569 57.9248 57.7321 57.5726 57.0755 56.7914 56.1802 56.2245 55.4893 55.6326 55.0816 54.9075 54.4314 54.2226 54.0986 54.0499 53.8641 54.0665 53.7684 53.5821 53.7980 53.9915 54.9378 55.3825 57.0200 57.4146 58.2646 59.6934 60.6241"
internal_bleeding_027_internalbleeding16_01_normal_276,027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199.txt,276,311,normal,"61.7789 62.8060 64.1079 65.6746 67.2343 68.5588 70.3659 70.9932 72.1551 74.2939 75.2861 76.5892 77.5799 78.9391 79.4484 79.9755 80.9865 81.8557 82.4440 83.7431 84.5976 86.0676 86.9108 87.8751 88.6264 89.3001 89.9704 91.7912 92.5646 93.1641 93.5495 94.0214 94.6345 94.8220 95.5310 96.4799"
internal_bleeding_027_internalbleeding16_02_normal_540,027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199.txt,540,575,normal,"68.9360 68.7166 68.5081 68.6831 68.6541 68.3483 68.4195 68.4377 67.8549 67.4489 67.2524 67.5289 66.8466 66.9981 66.4249 66.7099 65.9301 65.2409 65.3274 64.8614 64.8533 65.1148 65.0478 64.8999 64.9480 64.7278 64.8629 64.8298 64.8715 64.1238 64.4689 64.1882 64.7381 64.5653 64.4699 64.8570"
internal_bleeding_027_internalbleeding16_03_normal_576,027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199.txt,576,611,normal,"65.5168 65.5378 65.3707 65.0986 65.3118 65.5300 65.1613 65.4723 65.3107 65.0358 65.0611 65.6024 65.9855 65.9756 65.1554 65.1818 65.1383 64.8426 64.3564 64.4640 64.4711 64.2122 62.8303 63.0445 62.8533 62.2022 62.1752 63.0018 62.8659 63.1375 62.4841 62.9874 62.5765 62.9388 62.4236 62.0791"
internal_bleeding_027_internalbleeding16_04_normal_late_840,027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199.txt,840,875,normal_late,"81.2974 82.1056 82.3615 83.3610 84.4168 84.8641 86.6406 87.6712 88.5942 88.7445 89.6476 90.2498 90.5005 91.5224 92.4298 93.1040 94.0615 94.3702 95.0414 95.7955 96.2836 97.4581 96.8583 97.5553 97.4793 97.9586 97.9567 97.6000 96.8601 96.9531 96.1101 96.1101 95.5019 94.8795 93.4885 92.6129"
